repo_full_name,login,name,num_commits,additions,deletions,avg_additions_per_commit,avg_deletions_per_commit,is_bot
luftdata/luftdata.se,peterk,Peter K,9,55,6,6.11,0.67,False
luftdata/luftdata.se,Naesstrom,Erik Näsström,38,992,151,26.11,3.97,False
luftdata/luftdata.se,ebner,Hannes Ebner,132,12913,1506,97.83,11.41,False
CodeForAfrica/PromiseTracker,koechkevin,KEVIN KOECH,1,5529,5411,5529.0,5411.0,False
CodeForAfrica/PromiseTracker,github-advanced-security[bot],,2,29,10,14.5,5.0,True
CodeForAfrica/PromiseTracker,dependabot[bot],,5,750,508,150.0,101.6,True
CodeForAfrica/PromiseTracker,claude,Claude,8,94,63,11.75,7.88,False
CodeForAfrica/PromiseTracker,kelvinkipruto,Kipruto,295,73777,28311,250.09,95.97,False
CodeForAfrica/academy.AFRICA,claude,Claude,1,142,7,142.0,7.0,False
CodeForAfrica/academy.AFRICA,kilemensi,Clemence Kyara,1,17,1,17.0,1.0,False
CodeForAfrica/academy.AFRICA,koechkevin,KEVIN KOECH,288,42610,11132,147.95,38.65,False
CodeForAfrica/academy.AFRICA,kelvinkipruto,Kipruto,346,43805,26687,126.6,77.13,False
CodeForAfrica/Dominion.AFRICA,esirK,Isaiah King'ori,7,137,4,19.57,0.57,False
CodeForAfrica/Dominion.AFRICA,dependabot[bot],,29,884,554,30.48,19.1,True
CodeForAfrica/Dominion.AFRICA,DavidLemayian,David Lemayian ✨,34,2659,17299,78.21,508.79,False
CodeForAfrica/Dominion.AFRICA,nerdlet,Brenda Nyokabi Bucha,38,319,177,8.39,4.66,False
CodeForAfrica/Dominion.AFRICA,kilemensi,Clemence Kyara,117,35069,39103,299.74,334.21,False
CodeForAfrica/Dominion.AFRICA,karimkawambwa,Karim,121,26173,6042,216.31,49.93,False
CodeForAfrica/Dominion.AFRICA,KhadijaMahanga,Khadija Mahanga,132,19290,3145,146.14,23.83,False
CodeForAfrica/GenderGap.AFRICA,thepsalmist,Xavier Frankline Odhiambo,1,1,1,1.0,1.0,False
CodeForAfrica/GenderGap.AFRICA,mtuchi,Emmanuel Evance,1,937,11498,937.0,11498.0,False
CodeForAfrica/GenderGap.AFRICA,elric-wamugu,Elric Wamugu,2,38,24,19.0,12.0,False
CodeForAfrica/GenderGap.AFRICA,robinkiplangat,Robin Kiplangat,4,118,112,29.5,28.0,False
CodeForAfrica/GenderGap.AFRICA,Kinjuriu,Stephane Njoki,7,492,505,70.29,72.14,False
CodeForAfrica/GenderGap.AFRICA,kilemensi,Clemence Kyara,7,7,7,1.0,1.0,False
CodeForAfrica/GenderGap.AFRICA,dependabot[bot],,16,391,229,24.44,14.31,True
CodeForAfrica/GenderGap.AFRICA,nerdlet,Brenda Nyokabi Bucha,18,3291,2696,182.83,149.78,False
CodeForAfrica/GenderGap.AFRICA,DavidLemayian,David Lemayian ✨,18,9914,1049,550.78,58.28,False
CodeForAfrica/GenderGap.AFRICA,chaficnajjar,Chafic Najjar,47,11553,2169,245.81,46.15,False
CodeForAfrica/GenderGap.AFRICA,emmalewis,Emma Lewis,69,6848,12009,99.25,174.04,False
CodeForAfrica/openAFRICA,WNjihia,Doris Njihia,1,47,10,47.0,10.0,False
CodeForAfrica/openAFRICA,Arame93,Arame Thiam,4,133,5,33.25,1.25,False
CodeForAfrica/openAFRICA,kilemensi,Clemence Kyara,4,3,5,0.75,1.25,False
CodeForAfrica/openAFRICA,esirK,Isaiah King'ori,8,969,817,121.12,102.12,False
CodeForAfrica/openAFRICA,phillipahereza,,15,270,48,18.0,3.2,False
CodeForAfrica/openAFRICA,thepsalmist,Xavier Frankline Odhiambo,48,1115,1186,23.23,24.71,False
CodeForAfrica/openAFRICA,DavidLemayian,David Lemayian ✨,50,1944,399,38.88,7.98,False
CodeForAfrica/outbreak.AFRICA,thepsalmist,Xavier Frankline Odhiambo,1,1,1,1.0,1.0,False
CodeForAfrica/outbreak.AFRICA,gertie-sheshe,Gertrude,2,30,2,15.0,1.0,False
CodeForAfrica/outbreak.AFRICA,ascii-dev,Samuel R,5,274,101,54.8,20.2,False
CodeForAfrica/outbreak.AFRICA,dependabot-preview[bot],,9,980,757,108.89,84.11,True
CodeForAfrica/outbreak.AFRICA,karimkawambwa,Karim,9,4568,200,507.56,22.22,False
CodeForAfrica/outbreak.AFRICA,KobbyMmo,Obed Amoasi,13,492,213,37.85,16.38,False
CodeForAfrica/outbreak.AFRICA,dependabot[bot],,17,422,398,24.82,23.41,True
CodeForAfrica/outbreak.AFRICA,TriciaGovindasamy,Tricia Govindasamy,27,999,68,37.0,2.52,False
CodeForAfrica/outbreak.AFRICA,nerdlet,Brenda Nyokabi Bucha,230,23617,15335,102.68,66.67,False
CodeForAfrica/outbreak.AFRICA,KhadijaMahanga,Khadija Mahanga,345,13331,10514,38.64,30.48,False
CodeForAfrica/outbreak.AFRICA,kilemensi,Clemence Kyara,489,39128,31846,80.02,65.12,False
CodeForAfrica/ui,github-advanced-security[bot],,3,0,0,0.0,0.0,True
CodeForAfrica/ui,xnbchd,kelvin,4,0,0,0.0,0.0,False
CodeForAfrica/ui,github-actions[bot],,5,0,0,0.0,0.0,True
